央视频道,#genre#
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf
cct4欧洲,http://rihou.cc:555/tv/[mg]cct4欧洲
cct4美洲,http://rihou.cc:555/tv/[mg]cct4美洲
CGTN-西,http://rihou.cc:555/tv/[mg]CGTN-西
CGTN-阿,http://rihou.cc:555/tv/[mg]CGTN-阿
CGTN-法,http://rihou.cc:555/tv/[mg]CGTN-法
CCTV-01,http://j.s.bkpcp.top/jj/cctv1
CCTV-02,http://j.s.bkpcp.top/jj/cctv2
CCTV-03,http://j.s.bkpcp.top/jj/cctv3
CCTV-04,http://j.s.bkpcp.top/jj/cctv4
CCTV-06,http://j.s.bkpcp.top/jj/cctv6
CCTV-07,http://j.s.bkpcp.top/jj/cctv7
CCTV-08,http://j.s.bkpcp.top/jj/cctv8
CCTV-09,http://j.s.bkpcp.top/jj/cctv9
CCTV-10,http://j.s.bkpcp.top/jj/cctv10
CCTV-11,http://j.s.bkpcp.top/jj/cctv11
CCTV-12,http://j.s.bkpcp.top/jj/cctv12
CCTV-13,http://j.s.bkpcp.top/jj/cctv13
CCTV-14,http://j.s.bkpcp.top/jj/cctv14
CCTV-15,http://j.s.bkpcp.top/jj/cctv15
CCTV-17,http://j.s.bkpcp.top/jj/cctv17
cct4欧洲,http://j.s.bkpcp.top/jj/cctv4o
cct4美洲,http://j.s.bkpcp.top/jj/cctv4m
CGTN-西,http://j.s.bkpcp.top/jj/cgtne
CGTN-阿,http://j.s.bkpcp.top/jj/cgtna
CGTN-法,http://j.s.bkpcp.top/jj/cgtnf
CCTV-01,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-06,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-17,http://t.061899.xyz/tl/tl.php?id=cctv17
CCTV-01,http://go.bkpcp.top/mg/cctv1
CCTV-02,http://go.bkpcp.top/mg/cctv2
CCTV-03,http://go.bkpcp.top/mg/cctv3
CCTV-04,http://go.bkpcp.top/mg/cctv4
CCTV-06,http://go.bkpcp.top/mg/cctv6
CCTV-07,http://go.bkpcp.top/mg/cctv7
CCTV-08,http://go.bkpcp.top/mg/cctv8
CCTV-09,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-17,http://go.bkpcp.top/mg/cctv17
cct4欧洲,http://go.bkpcp.top/mg/cctv4o
cct4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-西,http://go.bkpcp.top/mg/cgtne
CGTN-阿,http://go.bkpcp.top/mg/cgtna
CGTN-法,http://go.bkpcp.top/mg/cgtnf
CCTV-01,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV-02,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV-03,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV-04,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV-06,http://rihou.cc:555/tv/[mg]CCTV-06
CCTV-07,http://rihou.cc:555/tv/[mg]CCTV-07
CCTV-08,http://rihou.cc:555/tv/[mg]CCTV-08
CCTV-09,http://rihou.cc:555/tv/[mg]CCTV-09
CCTV-10,http://rihou.cc:555/tv/[mg]CCTV-10
CCTV-11,http://rihou.cc:555/tv/[mg]CCTV-11
CCTV-12,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV-13,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV-14,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV-15,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV-17,http://rihou.cc:555/tv/[mg]CCTV-17
cct4欧洲,http://rihou.cc:555/tv/[mg]cct4欧洲
cct4美洲,http://rihou.cc:555/tv/[mg]cct4美洲
CGTN-西,http://rihou.cc:555/tv/[mg]CGTN-西
CGTN-阿,http://rihou.cc:555/tv/[mg]CGTN-阿
CGTN-法,http://rihou.cc:555/tv/[mg]CGTN-法
CCTV-01,http://j.s.bkpcp.top/jj/cctv1
CCTV-02,http://j.s.bkpcp.top/jj/cctv2
CCTV-03,http://j.s.bkpcp.top/jj/cctv3
CCTV-04,http://j.s.bkpcp.top/jj/cctv4
CCTV-06,http://j.s.bkpcp.top/jj/cctv6
CCTV-07,http://j.s.bkpcp.top/jj/cctv7
CCTV-08,http://j.s.bkpcp.top/jj/cctv8
CCTV-09,http://j.s.bkpcp.top/jj/cctv9
CCTV-10,http://j.s.bkpcp.top/jj/cctv10
CCTV-11,http://j.s.bkpcp.top/jj/cctv11
CCTV-12,http://j.s.bkpcp.top/jj/cctv12
CCTV-13,http://j.s.bkpcp.top/jj/cctv13
CCTV-14,http://j.s.bkpcp.top/jj/cctv14
CCTV-15,http://j.s.bkpcp.top/jj/cctv15
CCTV-17,http://j.s.bkpcp.top/jj/cctv17
cct4欧洲,http://j.s.bkpcp.top/jj/cctv4o
cct4美洲,http://j.s.bkpcp.top/jj/cctv4m
CGTN-西,http://j.s.bkpcp.top/jj/cgtne
CGTN-阿,http://j.s.bkpcp.top/jj/cgtna
CGTN-法,http://j.s.bkpcp.top/jj/cgtnf
CCTV-01,http://rihou.cc:555/tv/[JR]CCTV-01
CCTV-02,http://rihou.cc:555/tv/[JR]CCTV-02
CCTV-03,http://rihou.cc:555/tv/[JR]CCTV-03
CCTV-04,http://rihou.cc:555/tv/[JR]CCTV-04
CCTV-06,http://rihou.cc:555/tv/[JR]CCTV-06
CCTV-07,http://rihou.cc:555/tv/[JR]CCTV-07
CCTV-08,http://rihou.cc:555/tv/[JR]CCTV-08
CCTV-09,http://rihou.cc:555/tv/[JR]CCTV-09
CCTV-10,http://rihou.cc:555/tv/[JR]CCTV-10
CCTV-11,http://rihou.cc:555/tv/[JR]CCTV-11
CCTV-12,http://rihou.cc:555/tv/[JR]CCTV-12
CCTV-13,http://rihou.cc:555/tv/[JR]CCTV-13
CCTV-14,http://rihou.cc:555/tv/[JR]CCTV-14
CCTV-15,http://rihou.cc:555/tv/[JR]CCTV-15
CCTV-17,http://rihou.cc:555/tv/[JR]CCTV-17
CCTV-4k,http://rihou.cc:555/tv/[JR]CCTV-4k
CGTN-英,http://rihou.cc:555/tv/[JR]CGTN-英
CCTV-01,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-06,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-17,http://t.061899.xyz/tl/tl.php?id=cctv17
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV2财经,http://go.061899.xyz/mg/cctv2
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV3综艺,http://go.061899.xyz/mg/cctv3
CCTV6电影,http://go.061899.xyz/mg/cctv6
CCTV7国防军事,http://go.061899.xyz/mg/cctv7
CCTV8电视剧,http://go.061899.xyz/mg/cctv8
CCTV9纪录,http://go.061899.xyz/mg/cctv9
CCTV11戏曲,http://go.061899.xyz/mg/cctv11
CCTV14少儿,http://go.061899.xyz/mg/cctv14
CCTV15音乐,http://go.061899.xyz/mg/cctv15
CCTV16奥林匹克,http://go.061899.xyz/mg/cctv16
CCTV1综合,http://go.061899.xyz/mg/cctv1
CCTV4中文国际,http://go.061899.xyz/mg/cctv4
CCTV10科教,http://go.061899.xyz/mg/cctv10
CCTV12社会与法,http://go.061899.xyz/mg/cctv12
CCTV13新闻,http://go.061899.xyz/mg/cctv13
CCTV17农业农村,http://go.061899.xyz/mg/cctv17
CETV1,http://zmgd.zyrnet.com:8888/hls/16/index.m3u8
CETV4,http://zmgd.zyrnet.com:8888/hls/70/index.m3u8
CCTV1综合,http://zmgd.zyrnet.com:8888/hls/1/index.m3u8
CCTV2财经,http://zmgd.zyrnet.com:8888/hls/2/index.m3u8
CCTV3综艺,http://zmgd.zyrnet.com:8888/hls/3/index.m3u8
CCTV4中文国际,http://zmgd.zyrnet.com:8888/hls/4/index.m3u8
CCTV6电影,http://zmgd.zyrnet.com:8888/hls/6/index.m3u8
CCTV8电视剧,http://zmgd.zyrnet.com:8888/hls/8/index.m3u8
CCTV9纪录,http://zmgd.zyrnet.com:8888/hls/9/index.m3u8
CCTV10科教,http://zmgd.zyrnet.com:8888/hls/10/index.m3u8
CCTV11戏曲,http://zmgd.zyrnet.com:8888/hls/11/index.m3u8
CCTV12社会与法,http://zmgd.zyrnet.com:8888/hls/12/index.m3u8
CCTV13新闻,http://zmgd.zyrnet.com:8888/hls/13/index.m3u8
CCTV14少儿,http://zmgd.zyrnet.com:8888/hls/14/index.m3u8
CCTV15音乐,http://zmgd.zyrnet.com:8888/hls/15/index.m3u8
CCTV17农业农村,http://zmgd.zyrnet.com:8888/hls/17/index.m3u8
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV3综艺,http://go.bkpcp.top/mg/cctv3
CCTV4中文国际,http://go.bkpcp.top/mg/cctv4
CCTV6电影,http://go.bkpcp.top/mg/cctv6
CCTV7国防军事,http://go.bkpcp.top/mg/cctv7
CCTV8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV9纪录,http://go.bkpcp.top/mg/cctv9
CCTV10科教,http://go.bkpcp.top/mg/cctv10
CCTV11戏曲,http://go.bkpcp.top/mg/cctv11
CCTV12社会与法,http://go.bkpcp.top/mg/cctv12
CCTV13新闻,http://go.bkpcp.top/mg/cctv13
CCTV14少儿,http://go.bkpcp.top/mg/cctv14
CCTV15音乐,http://go.bkpcp.top/mg/cctv15
CCTV17农业农村,http://go.bkpcp.top/mg/cctv17
CCTV1综合,http://114.66.3.23:1991/cctv.php?id=cctv1
CCTV2财经,http://114.66.3.23:1991/cctv.php?id=cctv2
CCTV4中文国际,http://114.66.3.23:1991/cctv.php?id=cctv4
CCTV7国防军事,http://114.66.3.23:1991/cctv.php?id=cctv7
CCTV9纪录,http://114.66.3.23:1991/cctv.php?id=cctv9
CCTV10科教,http://114.66.3.23:1991/cctv.php?id=cctv10
CCTV12社会与法,http://114.66.3.23:1991/cctv.php?id=cctv12
CCTV13新闻,http://114.66.3.23:1991/cctv.php?id=cctv13
CCTV17农业农村,http://114.66.3.23:1991/cctv.php?id=cctv17
CCTV4K超高清,http://114.66.3.23:1991/cctv.php?id=cctv4k
CCTV1综合,http://go.061899.xyz/mg/cctv1
CCTV2财经,http://go.061899.xyz/mg/cctv2
CCTV3综艺,http://go.061899.xyz/mg/cctv3
CCTV4中文国际,http://go.061899.xyz/mg/cctv4
CCTV6电影,http://go.061899.xyz/mg/cctv6
CCTV7国防军事,http://go.061899.xyz/mg/cctv7
CCTV8电视剧,http://go.061899.xyz/mg/cctv8
CCTV9纪录,http://go.061899.xyz/mg/cctv9
CCTV10科教,http://go.061899.xyz/mg/cctv10
CCTV11戏曲,http://go.061899.xyz/mg/cctv11
CCTV12社会与法,http://go.061899.xyz/mg/cctv12
CCTV13新闻,http://go.061899.xyz/mg/cctv13
CCTV14少儿,http://go.061899.xyz/mg/cctv14
CCTV15音乐,http://go.061899.xyz/mg/cctv15
CCTV17农业农村,http://go.061899.xyz/mg/cctv17
CCTV1综合,http://zmgd.zyrnet.com:8888/hls/1/index.m3u8
CCTV2财经,http://zmgd.zyrnet.com:8888/hls/2/index.m3u8
CCTV3综艺,http://zmgd.zyrnet.com:8888/hls/3/index.m3u8
CCTV4中文国际,http://zmgd.zyrnet.com:8888/hls/4/index.m3u8
CCTV6电影,http://zmgd.zyrnet.com:8888/hls/6/index.m3u8
CCTV8电视剧,http://zmgd.zyrnet.com:8888/hls/8/index.m3u8
CCTV9纪录,http://zmgd.zyrnet.com:8888/hls/9/index.m3u8
CCTV10科教,http://zmgd.zyrnet.com:8888/hls/10/index.m3u8
CCTV11戏曲,http://zmgd.zyrnet.com:8888/hls/11/index.m3u8
CCTV12社会与法,http://zmgd.zyrnet.com:8888/hls/12/index.m3u8
CCTV13新闻,http://zmgd.zyrnet.com:8888/hls/13/index.m3u8
CCTV14少儿,http://zmgd.zyrnet.com:8888/hls/14/index.m3u8
CCTV15音乐,http://zmgd.zyrnet.com:8888/hls/15/index.m3u8
CCTV1综合,http://111.170.156.74:3344/央视/cctv.php?id=cctv1
CCTV2财经,http://111.170.156.74:3344/央视/cctv.php?id=cctv2
CCTV3综艺,http://iptv.catvod.com/live/ysp?cnlid=2024068501&livepid=600001801&defn=fhd
CCTV4中文国际,http://111.170.156.74:3344/央视/cctv.php?id=cctv4
CCTV6电影,http://iptv.catvod.com/live/ysp?cnlid=2013693901&livepid=600108442&defn=fhd
CCTV7国防军事,http://111.170.156.74:3344/央视/cctv.php?id=cctv7
CCTV8电视剧,http://iptv.catvod.com/live/ysp?cnlid=2029793001&livepid=600001803&defn=fhd
CCTV9纪录,http://111.170.156.74:3344/央视/cctv.php?id=cctv9
CCTV10科教,http://111.170.156.74:3344/央视/cctv.php?id=cctv10
CCTV11戏曲,http://iptv.catvod.com/live/ysp?cnlid=2027248701&livepid=600001806&defn=fhd
CCTV12社会与法,http://111.170.156.74:3344/央视/cctv.php?id=cctv12
CCTV13新闻,http://111.170.156.74:3344/央视/cctv.php?id=cctv13
CCTV14少儿,http://iptv.catvod.com/live/ysp?cnlid=2027248901&livepid=600001809&defn=fhd
CCTV15音乐,http://iptv.catvod.com/live/ysp?cnlid=2027249001&livepid=600001815&defn=fhd
CCTV17农业农村,http://111.170.156.74:3344/央视/cctv.php?id=cctv17
CCTV1综合,http://iptv.catvod.com/live/ysp?cnlid=2024078201&livepid=600001859&defn=fhd
CCTV2财经,http://iptv.catvod.com/live/ysp?cnlid=2024075401&livepid=600001800&defn=fhd
CCTV4中文国际,http://iptv.catvod.com/live/ysp?cnlid=2029797101&livepid=600001814&defn=fhd
CCTV5+体育赛事,http://iptv.catvod.com/live/ysp?cnlid=2024078001&livepid=600001817&defn=fhd
CCTV7国防军事,http://iptv.catvod.com/live/ysp?cnlid=2024072001&livepid=600004092&defn=fhd
CCTV9纪录,http://iptv.catvod.com/live/ysp?cnlid=2024078601&livepid=600004078&defn=fhd
CCTV10科教,http://iptv.catvod.com/live/ysp?cnlid=2024078701&livepid=600001805&defn=fhd
CCTV12社会与法,http://iptv.catvod.com/live/ysp?cnlid=2027248801&livepid=600001807&defn=fhd
CCTV13新闻,http://iptv.catvod.com/live/ysp?cnlid=2029797201&livepid=600001811&defn=fhd
CCTV17农业农村,http://iptv.catvod.com/live/ysp?cnlid=2027249401&livepid=600001810&defn=fhd
CGTN,http://iptv.catvod.com/live/ysp?cnlid=2024181701&livepid=600014550&defn=fhd
CGTN法语频道,http://iptv.catvod.com/live/ysp?cnlid=2024181801&livepid=600084704&defn=fhd
CGTN俄语频道,http://iptv.catvod.com/live/ysp?cnlid=2024181901&livepid=600084758&defn=fhd
CGTN阿拉伯语频道,http://iptv.catvod.com/live/ysp?cnlid=2024182001&livepid=600084782&defn=fhd
CGTN西班牙语频道,http://iptv.catvod.com/live/ysp?cnlid=2024182101&livepid=600084744&defn=fhd
CGTN外语纪录频道,http://iptv.catvod.com/live/ysp?cnlid=2024182301&livepid=600084781&defn=fhd
CCTV第一剧场频道,http://iptv.catvod.com/live/ysp?cnlid=2026874203&livepid=600099655&defn=hd
CCTV风云剧场频道,http://iptv.catvod.com/live/ysp?cnlid=2025637103&livepid=600099658&defn=hd
CCTV怀旧剧场频道,http://iptv.catvod.com/live/ysp?cnlid=2026874303&livepid=600099620&defn=hd
CCTV1综合,https://iptv.catvod.com/live.php?id=CCTV1
CCTV2财经,https://iptv.catvod.com/live.php?id=CCTV2
CCTV3综艺,https://iptv.catvod.com/live.php?id=CCTV3
CCTV4中文国际,https://iptv.catvod.com/live.php?id=CCTV4
CCTV6电影,https://iptv.catvod.com/live.php?id=CCTV6
CCTV7国防军事,https://iptv.catvod.com/live.php?id=CCTV7
CCTV8电视剧,https://iptv.catvod.com/live.php?id=CCTV8
CCTV9纪录,https://iptv.catvod.com/live.php?id=CCTV9
CCTV10科教,https://iptv.catvod.com/live.php?id=CCTV10
CCTV11戏曲,https://iptv.catvod.com/live.php?id=CCTV11
CCTV12社会与法,https://iptv.catvod.com/live.php?id=CCTV12
CCTV13新闻,https://iptv.catvod.com/live.php?id=CCTV13
CCTV14少儿,https://iptv.catvod.com/live.php?id=CCTV14
CCTV15音乐,https://iptv.catvod.com/live.php?id=CCTV15
CCTV17农业农村,https://iptv.catvod.com/live.php?id=CCTV17
CCTV4K超高清,http://111.170.156.74:3344/央视/cctv.php?id=cctv4k
CCTV4K超高清,http://iptv.catvod.com/yspidnew/ysppyid.php?c=MjAyNzI0OTUwMXw2MDAwMDIyNjR8Zmhk
CCTV1综合,http://go.061899.xyz/mg/cctv1
CCTV2财经,http://go.061899.xyz/mg/cctv2
CCTV3综艺,http://go.061899.xyz/mg/cctv3
CCTV4中文国际,http://go.061899.xyz/mg/cctv4
CCTV6电影,http://go.061899.xyz/mg/cctv6
CCTV7国防军事,http://go.061899.xyz/mg/cctv7
CCTV8电视剧,http://go.061899.xyz/mg/cctv8
CCTV9纪录,http://go.061899.xyz/mg/cctv9
CCTV10科教,http://go.061899.xyz/mg/cctv10
CCTV11戏曲,http://go.061899.xyz/mg/cctv11
CCTV12社会与法,http://go.061899.xyz/mg/cctv12
CCTV13新闻,http://go.061899.xyz/mg/cctv13
CCTV14少儿,http://go.061899.xyz/mg/cctv14
CCTV15音乐,http://go.061899.xyz/mg/cctv15
CCTV17农业农村,http://go.061899.xyz/mg/cctv17
CETV1,http://zmgd.zyrnet.com:8888/hls/16/index.m3u8
CETV1,http://111.170.156.74:3344/ysp.php?id=CETV1
CETV4,http://zmgd.zyrnet.com:8888/hls/70/index.m3u8
CCTV1综合,http://zmgd.zyrnet.com:8888/hls/1/index.m3u8
CCTV2财经,http://zmgd.zyrnet.com:8888/hls/2/index.m3u8
CCTV3综艺,http://zmgd.zyrnet.com:8888/hls/3/index.m3u8
CCTV4中文国际,http://zmgd.zyrnet.com:8888/hls/4/index.m3u8
CCTV6电影,http://zmgd.zyrnet.com:8888/hls/6/index.m3u8
CCTV8电视剧,http://zmgd.zyrnet.com:8888/hls/8/index.m3u8
CCTV9纪录,http://zmgd.zyrnet.com:8888/hls/9/index.m3u8
CCTV10科教,http://zmgd.zyrnet.com:8888/hls/10/index.m3u8
CCTV11戏曲,http://zmgd.zyrnet.com:8888/hls/11/index.m3u8
CCTV12社会与法,http://zmgd.zyrnet.com:8888/hls/12/index.m3u8
CCTV13新闻,http://zmgd.zyrnet.com:8888/hls/13/index.m3u8
CCTV14少儿,http://zmgd.zyrnet.com:8888/hls/14/index.m3u8
CCTV15音乐,http://zmgd.zyrnet.com:8888/hls/15/index.m3u8
CCTV17农业农村,http://zmgd.zyrnet.com:8888/hls/17/index.m3u8


卫士频道,#genre#

北京卫视,http://rihou.cc:555/tv/[mg]北京卫视
东方卫视,http://rihou.cc:555/tv/[mg]东方卫视
浙江卫视,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视,http://rihou.cc:555/tv/[mg]江苏卫视
湖南卫视,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视,http://rihou.cc:555/tv/[mg]广东卫视
深圳卫视,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视,http://rihou.cc:555/tv/[mg]河南卫视
江西卫视,http://rihou.cc:555/tv/[mg]江西卫视
湖北卫视,http://rihou.cc:555/tv/[mg]湖北卫视
海南卫视,http://rihou.cc:555/tv/[mg]海南卫视
陕西卫视,http://rihou.cc:555/tv/[mg]陕西卫视
兵团卫视,http://rihou.cc:555/tv/[mg]兵团卫视
黑龙江视,http://rihou.cc:555/tv/[mg]黑龙江视
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws
北京卫视,http://j.s.bkpcp.top/jj/bjws
东方卫视,http://j.s.bkpcp.top/jj/dfws
浙江卫视,http://j.s.bkpcp.top/jj/zjws
江苏卫视,http://j.s.bkpcp.top/jj/jsws
湖南卫视,http://j.s.bkpcp.top/jj/hunws
广东卫视,http://j.s.bkpcp.top/jj/gdws
深圳卫视咪4k,http://j.s.bkpcp.top/jj/szws
山东卫视,http://j.s.bkpcp.top/jj/sdws
河南卫视,http://j.s.bkpcp.top/jj/hnws
江西卫视,http://j.s.bkpcp.top/jj/jxws
湖北卫视,http://j.s.bkpcp.top/jj/hubws
海南卫视,http://j.s.bkpcp.top/jj/hinws
陕西卫视,http://j.s.bkpcp.top/jj/sxws
兵团卫视,http://j.s.bkpcp.top/jj/btws
黑龙江视,http://j.s.bkpcp.top/jj/hljws
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
